Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(model_trainer.py:429726): Gdk-CRITICAL **: 17:52:54.293: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Epochs:  100000
Pretrained:  False
SAM:  False
Adversarial Training Type:  None
Files already downloaded and verified
Files already downloaded and verified
CIFAR10 Data Loaded
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
Epoch:  15600 	Loss:  2.302520990371704
Epoch:  15610 	Loss:  2.3025825023651123
Epoch:  15620 	Loss:  2.3026366233825684
Epoch:  15630 	Loss:  2.3027448654174805
Epoch:  15640 	Loss:  2.302574634552002
Epoch:  15650 	Loss:  2.3027234077453613
Epoch:  15660 	Loss:  2.3026881217956543
Epoch:  15670 	Loss:  2.302562952041626
Epoch:  15680 	Loss:  2.3025503158569336
Epoch:  15690 	Loss:  2.302534818649292
Epoch:  15700 	Loss:  2.3027150630950928
Epoch:  15710 	Loss:  2.3025176525115967
Epoch:  15720 	Loss:  2.302640199661255
Epoch:  15730 	Loss:  2.302598476409912
Epoch:  15740 	Loss:  2.3026790618896484
Epoch:  15750 	Loss:  2.3027215003967285
Epoch:  15760 	Loss:  2.302595615386963
Epoch:  15770 	Loss:  2.302656650543213
Epoch:  15780 	Loss:  2.302642345428467
Epoch:  15790 	Loss:  2.302558422088623
Epoch:  15800 	Loss:  2.3025524616241455
Epoch:  15810 	Loss:  2.3026485443115234
Epoch:  15820 	Loss:  2.3026816844940186
Epoch:  15830 	Loss:  2.302635431289673
Epoch:  15840 	Loss:  2.3026463985443115
Epoch:  15850 	Loss:  2.3026554584503174
Epoch:  15860 	Loss:  2.302595615386963
Epoch:  15870 	Loss:  2.3027262687683105
Epoch:  15880 	Loss:  2.3025503158569336
Epoch:  15890 	Loss:  2.302612066268921
Epoch:  15900 	Loss:  2.3025338649749756
Epoch:  15910 	Loss:  2.302675247192383
Epoch:  15920 	Loss:  2.3025825023651123
Epoch:  15930 	Loss:  2.3026204109191895
Epoch:  15940 	Loss:  2.3026680946350098
Epoch:  15950 	Loss:  2.3026466369628906
Epoch:  15960 	Loss:  2.30260968208313
Epoch:  15970 	Loss:  2.302608013153076
Epoch:  15980 	Loss:  2.3026187419891357
Epoch:  15990 	Loss:  2.3026156425476074
Epoch:  16000 	Loss:  2.302560329437256
Epoch:  16010 	Loss:  2.302750587463379
Epoch:  16020 	Loss:  2.3025801181793213
Epoch:  16030 	Loss:  2.3026931285858154
Epoch:  16040 	Loss:  2.302651882171631
Epoch:  16050 	Loss:  2.302626132965088
Epoch:  16060 	Loss:  2.30247163772583
Epoch:  16070 	Loss:  2.302706480026245
Epoch:  16080 	Loss:  2.3025126457214355
Epoch:  16090 	Loss:  2.3025736808776855
Epoch:  16100 	Loss:  2.302659034729004
Epoch:  16110 	Loss:  2.302682399749756
Epoch:  16120 	Loss:  2.302640438079834
Epoch:  16130 	Loss:  2.3025383949279785
Epoch:  16140 	Loss:  2.3025765419006348
Epoch:  16150 	Loss:  2.3025104999542236
Epoch:  16160 	Loss:  2.3025622367858887
Epoch:  16170 	Loss:  2.3025565147399902
Epoch:  16180 	Loss:  2.3027102947235107
Epoch:  16190 	Loss:  2.302626609802246
Epoch:  16200 	Loss:  2.3025660514831543
Epoch:  16210 	Loss:  2.302659034729004
Epoch:  16220 	Loss:  2.3026862144470215
Epoch:  16230 	Loss:  2.302643299102783
Epoch:  16240 	Loss:  2.3025574684143066
Epoch:  16250 	Loss:  2.3024837970733643
Epoch:  16260 	Loss:  2.302563190460205
Epoch:  16270 	Loss:  2.3025665283203125
Epoch:  16280 	Loss:  2.3026013374328613
Epoch:  16290 	Loss:  2.3025853633880615
Epoch:  16300 	Loss:  2.302708387374878
Epoch:  16310 	Loss:  2.3026621341705322
Epoch:  16320 	Loss:  2.302678346633911
Epoch:  16330 	Loss:  2.3026163578033447
Epoch:  16340 	Loss:  2.3025763034820557
Epoch:  16350 	Loss:  2.3026070594787598
Epoch:  16360 	Loss:  2.3025965690612793
Epoch:  16370 	Loss:  2.3025851249694824
Epoch:  16380 	Loss:  2.302586078643799
Epoch:  16390 	Loss:  2.302589178085327
Epoch:  16400 	Loss:  2.302553653717041
Epoch:  16410 	Loss:  2.3025705814361572
Epoch:  16420 	Loss:  2.3026232719421387
Epoch:  16430 	Loss:  2.3025949001312256
Epoch:  16440 	Loss:  2.30253005027771
Epoch:  16450 	Loss:  2.302600860595703
Epoch:  16460 	Loss:  2.302659511566162
Epoch:  16470 	Loss:  2.3026483058929443
Epoch:  16480 	Loss:  2.302605152130127
Epoch:  16490 	Loss:  2.3027005195617676
Epoch:  16500 	Loss:  2.3026366233825684
Epoch:  16510 	Loss:  2.3026928901672363
Epoch:  16520 	Loss:  2.302647829055786
Epoch:  16530 	Loss:  2.3025684356689453
Epoch:  16540 	Loss:  2.30263614654541
Epoch:  16550 	Loss:  2.3026537895202637
Epoch:  16560 	Loss:  2.302657127380371
Epoch:  16570 	Loss:  2.3026700019836426
Epoch:  16580 	Loss:  2.3026692867279053
Epoch:  16590 	Loss:  2.3025336265563965
Epoch:  16600 	Loss:  2.3026349544525146
Epoch:  16610 	Loss:  2.3025875091552734
Epoch:  16620 	Loss:  2.302607774734497
Epoch:  16630 	Loss:  2.302536725997925
Epoch:  16640 	Loss:  2.302684783935547
Epoch:  16650 	Loss:  2.3026039600372314
Epoch:  16660 	Loss:  2.302687168121338
Epoch:  16670 	Loss:  2.302677631378174
Epoch:  16680 	Loss:  2.302593231201172
Epoch:  16690 	Loss:  2.3026559352874756
Epoch:  16700 	Loss:  2.302658796310425
Epoch:  16710 	Loss:  2.302638292312622
Epoch:  16720 	Loss:  2.302525520324707
Epoch:  16730 	Loss:  2.3025083541870117
Epoch:  16740 	Loss:  2.3026633262634277
Epoch:  16750 	Loss:  2.302614688873291
Epoch:  16760 	Loss:  2.3026387691497803
Epoch:  16770 	Loss:  2.302584648132324
Epoch:  16780 	Loss:  2.302570104598999
Epoch:  16790 	Loss:  2.302720308303833
Epoch:  16800 	Loss:  2.3026340007781982
Epoch:  16810 	Loss:  2.302624225616455
Epoch:  16820 	Loss:  2.302539348602295
Epoch:  16830 	Loss:  2.3025529384613037
Epoch:  16840 	Loss:  2.3025667667388916
Epoch:  16850 	Loss:  2.3026814460754395
Epoch:  16860 	Loss:  2.302581310272217
Epoch:  16870 	Loss:  2.302551031112671
Epoch:  16880 	Loss:  2.302579641342163
Epoch:  16890 	Loss:  2.3027100563049316
Epoch:  16900 	Loss:  2.3026628494262695
Epoch:  16910 	Loss:  2.3026108741760254
Epoch:  16920 	Loss:  2.3025503158569336
Epoch:  16930 	Loss:  2.302572011947632
Epoch:  16940 	Loss:  2.302544116973877
Epoch:  16950 	Loss:  2.302572250366211
Epoch:  16960 	Loss:  2.3025107383728027
Epoch:  16970 	Loss:  2.302612781524658
Epoch:  16980 	Loss:  2.302578926086426
Epoch:  16990 	Loss:  2.3027148246765137
Epoch:  17000 	Loss:  2.3026156425476074
Epoch:  17010 	Loss:  2.3026371002197266
Epoch:  17020 	Loss:  2.3027536869049072
Epoch:  17030 	Loss:  2.3025877475738525
Epoch:  17040 	Loss:  2.3026320934295654
Epoch:  17050 	Loss:  2.302689790725708
Epoch:  17060 	Loss:  2.302597761154175
Epoch:  17070 	Loss:  2.302637815475464
Epoch:  17080 	Loss:  2.3026392459869385
Epoch:  17090 	Loss:  2.3026318550109863
Epoch:  17100 	Loss:  2.3026254177093506
Epoch:  17110 	Loss:  2.3026461601257324
Epoch:  17120 	Loss:  2.3026254177093506
Epoch:  17130 	Loss:  2.3026466369628906
Epoch:  17140 	Loss:  2.3026554584503174
Epoch:  17150 	Loss:  2.302652597427368
Epoch:  17160 	Loss:  2.302525520324707
Epoch:  17170 	Loss:  2.3026251792907715
Epoch:  17180 	Loss:  2.3026413917541504
Epoch:  17190 	Loss:  2.302589178085327
Epoch:  17200 	Loss:  2.302676200866699
Epoch:  17210 	Loss:  2.3025784492492676
Epoch:  17220 	Loss:  2.3025975227355957
Epoch:  17230 	Loss:  2.3025124073028564
Epoch:  17240 	Loss:  2.302550792694092
Epoch:  17250 	Loss:  2.3025460243225098
Epoch:  17260 	Loss:  2.3026974201202393
Epoch:  17270 	Loss:  2.302612543106079
Epoch:  17280 	Loss:  2.30253529548645
Epoch:  17290 	Loss:  2.302556276321411
Epoch:  17300 	Loss:  2.302724599838257
Epoch:  17310 	Loss:  2.3026938438415527
Epoch:  17320 	Loss:  2.3025882244110107
Epoch:  17330 	Loss:  2.3025929927825928
Epoch:  17340 	Loss:  2.3026087284088135
Epoch:  17350 	Loss:  2.302640199661255
Epoch:  17360 	Loss:  2.3026700019836426
Epoch:  17370 	Loss:  2.3025879859924316
Epoch:  17380 	Loss:  2.3025825023651123
Epoch:  17390 	Loss:  2.302591323852539
Epoch:  17400 	Loss:  2.3025777339935303
Epoch:  17410 	Loss:  2.3026046752929688
Epoch:  17420 	Loss:  2.302638530731201
Epoch:  17430 	Loss:  2.3025903701782227
Epoch:  17440 	Loss:  2.3026680946350098
Epoch:  17450 	Loss:  2.3025412559509277
Epoch:  17460 	Loss:  2.3025925159454346
Epoch:  17470 	Loss:  2.302581548690796
Epoch:  17480 	Loss:  2.3026180267333984
Epoch:  17490 	Loss:  2.3027262687683105
Epoch:  17500 	Loss:  2.3026275634765625
Epoch:  17510 	Loss:  2.3026959896087646
Epoch:  17520 	Loss:  2.3024680614471436
Epoch:  17530 	Loss:  2.3026154041290283
Epoch:  17540 	Loss:  2.302605628967285
Epoch:  17550 	Loss:  2.302685260772705
Epoch:  17560 	Loss:  2.3025412559509277
Epoch:  17570 	Loss:  2.3025717735290527
Epoch:  17580 	Loss:  2.3026843070983887
Epoch:  17590 	Loss:  2.3026537895202637
Epoch:  17600 	Loss:  2.302626848220825
Epoch:  17610 	Loss:  2.3026721477508545
Epoch:  17620 	Loss:  2.3025894165039062
Epoch:  17630 	Loss:  2.3026785850524902
Epoch:  17640 	Loss:  2.302616834640503
Epoch:  17650 	Loss:  2.3025479316711426
Epoch:  17660 	Loss:  2.3026680946350098
Epoch:  17670 	Loss:  2.3026375770568848
Epoch:  17680 	Loss:  2.3025448322296143
Epoch:  17690 	Loss:  2.302689552307129
Epoch:  17700 	Loss:  2.302402973175049
Epoch:  17710 	Loss:  2.3025829792022705
Epoch:  17720 	Loss:  2.302633762359619
Epoch:  17730 	Loss:  2.3025777339935303
Epoch:  17740 	Loss:  2.302605152130127
Epoch:  17750 	Loss:  2.302593946456909
Epoch:  17760 	Loss:  2.3028147220611572
Epoch:  17770 	Loss:  2.3025946617126465
Epoch:  17780 	Loss:  2.302602767944336
Epoch:  17790 	Loss:  2.3025951385498047
Epoch:  17800 	Loss:  2.3025994300842285
Epoch:  17810 	Loss:  2.3026931285858154
Epoch:  17820 	Loss:  2.302710771560669
Epoch:  17830 	Loss:  2.3026061058044434
Epoch:  17840 	Loss:  2.302618980407715
Epoch:  17850 	Loss:  2.3026530742645264
Epoch:  17860 	Loss:  2.3026137351989746
Epoch:  17870 	Loss:  2.3025646209716797
Epoch:  17880 	Loss:  2.3025848865509033
Epoch:  17890 	Loss:  2.302654504776001
Epoch:  17900 	Loss:  2.3025715351104736
Epoch:  17910 	Loss:  2.302628517150879
Epoch:  17920 	Loss:  2.302690029144287
Epoch:  17930 	Loss:  2.302640438079834
Epoch:  17940 	Loss:  2.3026528358459473
Epoch:  17950 	Loss:  2.3025474548339844
Epoch:  17960 	Loss:  2.302664279937744
Epoch:  17970 	Loss:  2.302701473236084
Epoch:  17980 	Loss:  2.302616596221924
Epoch:  17990 	Loss:  2.302713632583618
Epoch:  18000 	Loss:  2.3026270866394043
Epoch:  18010 	Loss:  2.3025810718536377
Epoch:  18020 	Loss:  2.3026256561279297
Epoch:  18030 	Loss:  2.3026318550109863
Epoch:  18040 	Loss:  2.302652597427368
Epoch:  18050 	Loss:  2.3025972843170166
Epoch:  18060 	Loss:  2.302631378173828
Epoch:  18070 	Loss:  2.3025310039520264
Epoch:  18080 	Loss:  2.302605152130127
Epoch:  18090 	Loss:  2.302560806274414
Epoch:  18100 	Loss:  2.302565813064575
Epoch:  18110 	Loss:  2.3025765419006348
Epoch:  18120 	Loss:  2.3025717735290527
Epoch:  18130 	Loss:  2.302651882171631
Epoch:  18140 	Loss:  2.302621603012085
Epoch:  18150 	Loss:  2.302604913711548
Epoch:  18160 	Loss:  2.3025403022766113
Epoch:  18170 	Loss:  2.3025500774383545
Epoch:  18180 	Loss:  2.302637815475464
Epoch:  18190 	Loss:  2.302557945251465
Epoch:  18200 	Loss:  2.3026137351989746
Epoch:  18210 	Loss:  2.3025472164154053
Epoch:  18220 	Loss:  2.302654266357422
Epoch:  18230 	Loss:  2.3025479316711426
Epoch:  18240 	Loss:  2.3025496006011963
Epoch:  18250 	Loss:  2.3025221824645996
Epoch:  18260 	Loss:  2.3025879859924316
Epoch:  18270 	Loss:  2.302544116973877
Epoch:  18280 	Loss:  2.302567720413208
Epoch:  18290 	Loss:  2.30253267288208
Epoch:  18300 	Loss:  2.3026013374328613
Epoch:  18310 	Loss:  2.302647352218628
Epoch:  18320 	Loss:  2.3025965690612793
Epoch:  18330 	Loss:  2.302628993988037
Epoch:  18340 	Loss:  2.3026692867279053
Epoch:  18350 	Loss:  2.3025920391082764
Epoch:  18360 	Loss:  2.3027026653289795
Epoch:  18370 	Loss:  2.302614450454712
Epoch:  18380 	Loss:  2.3025970458984375
Epoch:  18390 	Loss:  2.3025689125061035
Epoch:  18400 	Loss:  2.302609920501709
Epoch:  18410 	Loss:  2.3026623725891113
Epoch:  18420 	Loss:  2.302656650543213
Epoch:  18430 	Loss:  2.3026390075683594
Epoch:  18440 	Loss:  2.3026323318481445
Epoch:  18450 	Loss:  2.302539110183716
Epoch:  18460 	Loss:  2.3026585578918457
Epoch:  18470 	Loss:  2.3027920722961426
Epoch:  18480 	Loss:  2.3025155067443848
Epoch:  18490 	Loss:  2.302556276321411
Epoch:  18500 	Loss:  2.3026528358459473
Epoch:  18510 	Loss:  2.3026418685913086
Epoch:  18520 	Loss:  2.3026721477508545
Epoch:  18530 	Loss:  2.302612543106079
Epoch:  18540 	Loss:  2.302570104598999
Epoch:  18550 	Loss:  2.3025946617126465
Epoch:  18560 	Loss:  2.30264949798584
Epoch:  18570 	Loss:  2.3025624752044678
Epoch:  18580 	Loss:  2.302621603012085
Epoch:  18590 	Loss:  2.3025665283203125
Epoch:  18600 	Loss:  2.3026328086853027
Epoch:  18610 	Loss:  2.302537441253662
Epoch:  18620 	Loss:  2.302582263946533
Epoch:  18630 	Loss:  2.3025805950164795
Epoch:  18640 	Loss:  2.30254864692688
Epoch:  18650 	Loss:  2.302562952041626
Epoch:  18660 	Loss:  2.3026037216186523
Epoch:  18670 	Loss:  2.302567958831787
Epoch:  18680 	Loss:  2.3027122020721436
Epoch:  18690 	Loss:  2.3026132583618164
Epoch:  18700 	Loss:  2.302600383758545
Epoch:  18710 	Loss:  2.302675724029541
Epoch:  18720 	Loss:  2.3027091026306152
Epoch:  18730 	Loss:  2.3025591373443604
Epoch:  18740 	Loss:  2.302569627761841
Epoch:  18750 	Loss:  2.3026530742645264
Epoch:  18760 	Loss:  2.3026671409606934
Epoch:  18770 	Loss:  2.3025412559509277
Epoch:  18780 	Loss:  2.3026797771453857
Epoch:  18790 	Loss:  2.3026256561279297
Epoch:  18800 	Loss:  2.3026089668273926
Epoch:  18810 	Loss:  2.3025245666503906
Epoch:  18820 	Loss:  2.3026583194732666
Epoch:  18830 	Loss:  2.302685260772705
Epoch:  18840 	Loss:  2.302529811859131
Epoch:  18850 	Loss:  2.3024508953094482
Epoch:  18860 	Loss:  2.302724599838257
Epoch:  18870 	Loss:  2.3026046752929688
Epoch:  18880 	Loss:  2.3025004863739014
Epoch:  18890 	Loss:  2.302600383758545
Epoch:  18900 	Loss:  2.3024685382843018
Epoch:  18910 	Loss:  2.302614450454712
Epoch:  18920 	Loss:  2.3025174140930176
Epoch:  18930 	Loss:  2.302624464035034
Epoch:  18940 	Loss:  2.302602529525757
Epoch:  18950 	Loss:  2.3025450706481934
Epoch:  18960 	Loss:  2.3025429248809814
Epoch:  18970 	Loss:  2.3027141094207764
Epoch:  18980 	Loss:  2.302509307861328
Epoch:  18990 	Loss:  2.302623987197876
Epoch:  19000 	Loss:  2.3026342391967773
Epoch:  19010 	Loss:  2.3026695251464844
Epoch:  19020 	Loss:  2.302602767944336
Epoch:  19030 	Loss:  2.3026986122131348
Epoch:  19040 	Loss:  2.3026175498962402
Epoch:  19050 	Loss:  2.3026509284973145
Epoch:  19060 	Loss:  2.302748441696167
Epoch:  19070 	Loss:  2.3026750087738037
Epoch:  19080 	Loss:  2.302643299102783
Epoch:  19090 	Loss:  2.3027281761169434
Epoch:  19100 	Loss:  2.3026397228240967
Epoch:  19110 	Loss:  2.302675485610962
Epoch:  19120 	Loss:  2.302656888961792
Epoch:  19130 	Loss:  2.302618980407715
Epoch:  19140 	Loss:  2.3025400638580322
Epoch:  19150 	Loss:  2.3025753498077393
Epoch:  19160 	Loss:  2.3026325702667236
Epoch:  19170 	Loss:  2.3027844429016113
Epoch:  19180 	Loss:  2.3027331829071045
Epoch:  19190 	Loss:  2.302635669708252
Epoch:  19200 	Loss:  2.3025827407836914
Epoch:  19210 	Loss:  2.302678346633911
Epoch:  19220 	Loss:  2.302595853805542
Epoch:  19230 	Loss:  2.3027560710906982
Epoch:  19240 	Loss:  2.3025426864624023
Epoch:  19250 	Loss:  2.3025455474853516
Epoch:  19260 	Loss:  2.302555561065674
Epoch:  19270 	Loss:  2.302590847015381
Epoch:  19280 	Loss:  2.302631139755249
Epoch:  19290 	Loss:  2.3025693893432617
Epoch:  19300 	Loss:  2.3025524616241455
Epoch:  19310 	Loss:  2.3027021884918213
Epoch:  19320 	Loss:  2.302536964416504
Epoch:  19330 	Loss:  2.302621364593506
Epoch:  19340 	Loss:  2.3026952743530273
Epoch:  19350 	Loss:  2.3026320934295654
Epoch:  19360 	Loss:  2.3026416301727295
Epoch:  19370 	Loss:  2.3026070594787598
Epoch:  19380 	Loss:  2.302626848220825
Epoch:  19390 	Loss:  2.302609920501709
Epoch:  19400 	Loss:  2.302595615386963
Epoch:  19410 	Loss:  2.3025400638580322
Epoch:  19420 	Loss:  2.302614688873291
Epoch:  19430 	Loss:  2.3025898933410645
Epoch:  19440 	Loss:  2.3025784492492676
Epoch:  19450 	Loss:  2.302485466003418
Epoch:  19460 	Loss:  2.3027117252349854
Epoch:  19470 	Loss:  2.302532911300659
Epoch:  19480 	Loss:  2.302647829055786
Epoch:  19490 	Loss:  2.3025805950164795
Epoch:  19500 	Loss:  2.3025527000427246
Epoch:  19510 	Loss:  2.3027493953704834
Epoch:  19520 	Loss:  2.302611827850342
Epoch:  19530 	Loss:  2.302652597427368
Epoch:  19540 	Loss:  2.302589178085327
Epoch:  19550 	Loss:  2.3025248050689697
Epoch:  19560 	Loss:  2.302666664123535
Epoch:  19570 	Loss:  2.3027005195617676
Epoch:  19580 	Loss:  2.3025574684143066
Epoch:  19590 	Loss:  2.3026316165924072
Epoch:  19600 	Loss:  2.3025248050689697
Epoch:  19610 	Loss:  2.302703857421875
Epoch:  19620 	Loss:  2.3025546073913574
Epoch:  19630 	Loss:  2.302626371383667
Epoch:  19640 	Loss:  2.302608013153076
Epoch:  19650 	Loss:  2.3025882244110107
Epoch:  19660 	Loss:  2.3025989532470703
Epoch:  19670 	Loss:  2.3026928901672363
Epoch:  19680 	Loss:  2.30255389213562
Epoch:  19690 	Loss:  2.3025176525115967
Epoch:  19700 	Loss:  2.3027989864349365
Epoch:  19710 	Loss:  2.302626132965088
Epoch:  19720 	Loss:  2.302722692489624
Epoch:  19730 	Loss:  2.3026845455169678
Epoch:  19740 	Loss:  2.3026576042175293
Epoch:  19750 	Loss:  2.3026299476623535
Epoch:  19760 	Loss:  2.3025829792022705
Epoch:  19770 	Loss:  2.302603006362915
Epoch:  19780 	Loss:  2.3026232719421387
Epoch:  19790 	Loss:  2.3025753498077393
Epoch:  19800 	Loss:  2.3026554584503174
Epoch:  19810 	Loss:  2.302741527557373
Epoch:  19820 	Loss:  2.302672863006592
Epoch:  19830 	Loss:  2.3026280403137207
Epoch:  19840 	Loss:  2.30260968208313
Epoch:  19850 	Loss:  2.302582025527954
Epoch:  19860 	Loss:  2.3026270866394043
Epoch:  19870 	Loss:  2.3026227951049805
Epoch:  19880 	Loss:  2.3026607036590576
Epoch:  19890 	Loss:  2.3025994300842285
Epoch:  19900 	Loss:  2.3025670051574707
Epoch:  19910 	Loss:  2.3026320934295654
Epoch:  19920 	Loss:  2.302605152130127
Epoch:  19930 	Loss:  2.3026161193847656
Epoch:  19940 	Loss:  2.3025572299957275
Epoch:  19950 	Loss:  2.30267333984375
Epoch:  19960 	Loss:  2.302548408508301
Epoch:  19970 	Loss:  2.302570343017578
Epoch:  19980 	Loss:  2.3027491569519043
Epoch:  19990 	Loss:  2.3026480674743652
Epoch:  20000 	Loss:  2.302590847015381
Epoch:  20010 	Loss:  2.302666425704956
Epoch:  20020 	Loss:  2.3026747703552246
Epoch:  20030 	Loss:  2.3025612831115723
Epoch:  20040 	Loss:  2.3025565147399902
Epoch:  20050 	Loss:  2.302664279937744
Epoch:  20060 	Loss:  2.3026206493377686
Epoch:  20070 	Loss:  2.3026952743530273
Epoch:  20080 	Loss:  2.302725315093994
Epoch:  20090 	Loss:  2.3026204109191895
Epoch:  20100 	Loss:  2.302593469619751
Epoch:  20110 	Loss:  2.302595376968384
Epoch:  20120 	Loss:  2.302572727203369
Epoch:  20130 	Loss:  2.302778720855713
Epoch:  20140 	Loss:  2.302467107772827
Epoch:  20150 	Loss:  2.3026487827301025
Epoch:  20160 	Loss:  2.302668333053589
Epoch:  20170 	Loss:  2.3026063442230225
Epoch:  20180 	Loss:  2.302525043487549
Epoch:  20190 	Loss:  2.3026297092437744
Epoch:  20200 	Loss:  2.302767515182495
Epoch:  20210 	Loss:  2.3025903701782227
Epoch:  20220 	Loss:  2.30263090133667
Epoch:  20230 	Loss:  2.3026251792907715
Epoch:  20240 	Loss:  2.302619218826294
Epoch:  20250 	Loss:  2.302577495574951
Epoch:  20260 	Loss:  2.302607297897339
Epoch:  20270 	Loss:  2.302596092224121
Epoch:  20280 	Loss:  2.302680015563965
Epoch:  20290 	Loss:  2.302626848220825
Epoch:  20300 	Loss:  2.302666425704956
Epoch:  20310 	Loss:  2.302643060684204
Epoch:  20320 	Loss:  2.302629232406616
Epoch:  20330 	Loss:  2.3026556968688965
Epoch:  20340 	Loss:  2.3025784492492676
Epoch:  20350 	Loss:  2.3025894165039062
Epoch:  20360 	Loss:  2.302781343460083
Epoch:  20370 	Loss:  2.3026206493377686
Epoch:  20380 	Loss:  2.3026750087738037
Epoch:  20390 	Loss:  2.3025684356689453
Epoch:  20400 	Loss:  2.302481174468994
Epoch:  20410 	Loss:  2.3026020526885986
Epoch:  20420 	Loss:  2.3025970458984375
Epoch:  20430 	Loss:  2.302626371383667
Epoch:  20440 	Loss:  2.302581787109375
Epoch:  20450 	Loss:  2.3024892807006836
Epoch:  20460 	Loss:  2.302692413330078
Epoch:  20470 	Loss:  2.302581310272217
Epoch:  20480 	Loss:  2.3026084899902344
Epoch:  20490 	Loss:  2.3025872707366943
Epoch:  20500 	Loss:  2.302556276321411
Epoch:  20510 	Loss:  2.3026530742645264
Epoch:  20520 	Loss:  2.3026044368743896
Epoch:  20530 	Loss:  2.302527904510498
Epoch:  20540 	Loss:  2.30269455909729
Epoch:  20550 	Loss:  2.3027732372283936
Epoch:  20560 	Loss:  2.302626848220825
Epoch:  20570 	Loss:  2.3025527000427246
Epoch:  20580 	Loss:  2.302572727203369
Epoch:  20590 	Loss:  2.3026602268218994
Epoch:  20600 	Loss:  2.3025755882263184
Epoch:  20610 	Loss:  2.3026044368743896
Epoch:  20620 	Loss:  2.302603244781494
Epoch:  20630 	Loss:  2.302583694458008
Epoch:  20640 	Loss:  2.302635669708252
Epoch:  20650 	Loss:  2.3026583194732666
Epoch:  20660 	Loss:  2.3025760650634766
Epoch:  20670 	Loss:  2.302628993988037
Epoch:  20680 	Loss:  2.3025312423706055
Epoch:  20690 	Loss:  2.302762031555176
Epoch:  20700 	Loss:  2.302701473236084
Epoch:  20710 	Loss:  2.3026206493377686
Epoch:  20720 	Loss:  2.302673101425171
Epoch:  20730 	Loss:  2.3025875091552734
Epoch:  20740 	Loss:  2.302651882171631
Epoch:  20750 	Loss:  2.30263090133667
Epoch:  20760 	Loss:  2.3025951385498047
Epoch:  20770 	Loss:  2.302518367767334
Epoch:  20780 	Loss:  2.3025941848754883
Epoch:  20790 	Loss:  2.3026671409606934
Epoch:  20800 	Loss:  2.302539348602295
Epoch:  20810 	Loss:  2.30259108543396
Epoch:  20820 	Loss:  2.3026328086853027
Epoch:  20830 	Loss:  2.3026328086853027
Epoch:  20840 	Loss:  2.302579402923584
Epoch:  20850 	Loss:  2.3025104999542236
Epoch:  20860 	Loss:  2.3026070594787598
Epoch:  20870 	Loss:  2.3026256561279297
Epoch:  20880 	Loss:  2.302713632583618
Epoch:  20890 	Loss:  2.3026585578918457
Epoch:  20900 	Loss:  2.30263090133667
Epoch:  20910 	Loss:  2.3025741577148438
Epoch:  20920 	Loss:  2.3025801181793213
Epoch:  20930 	Loss:  2.302670478820801
Epoch:  20940 	Loss:  2.30259370803833
Epoch:  20950 	Loss:  2.3026201725006104
Epoch:  20960 	Loss:  2.302642583847046
Epoch:  20970 	Loss:  2.302633285522461
Epoch:  20980 	Loss:  2.302659511566162
Epoch:  20990 	Loss:  2.302616596221924
Epoch:  21000 	Loss:  2.3025803565979004
Epoch:  21010 	Loss:  2.302588939666748
Epoch:  21020 	Loss:  2.3026843070983887
Epoch:  21030 	Loss:  2.302583932876587
Epoch:  21040 	Loss:  2.302703857421875
Epoch:  21050 	Loss:  2.302504539489746
Epoch:  21060 	Loss:  2.302584409713745
Epoch:  21070 	Loss:  2.3025989532470703
Epoch:  21080 	Loss:  2.3025729656219482
Epoch:  21090 	Loss:  2.302565097808838
Epoch:  21100 	Loss:  2.3025949001312256
Epoch:  21110 	Loss:  2.3026156425476074
Epoch:  21120 	Loss:  2.3026089668273926
Epoch:  21130 	Loss:  2.302516222000122
Epoch:  21140 	Loss:  2.302541971206665
Epoch:  21150 	Loss:  2.3025662899017334
Epoch:  21160 	Loss:  2.302727222442627
Epoch:  21170 	Loss:  2.3026535511016846
Epoch:  21180 	Loss:  2.302548885345459
Epoch:  21190 	Loss:  2.3025269508361816
Epoch:  21200 	Loss:  2.3026185035705566
Epoch:  21210 	Loss:  2.302661657333374
Epoch:  21220 	Loss:  2.302581310272217
Epoch:  21230 	Loss:  2.3026862144470215
Epoch:  21240 	Loss:  2.3025341033935547
Epoch:  21250 	Loss:  2.3025927543640137
Epoch:  21260 	Loss:  2.3026444911956787
Epoch:  21270 	Loss:  2.302720546722412
Epoch:  21280 	Loss:  2.302621364593506
Epoch:  21290 	Loss:  2.3025543689727783
Epoch:  21300 	Loss:  2.302654266357422
Epoch:  21310 	Loss:  2.302586078643799
Epoch:  21320 	Loss:  2.3027424812316895
Epoch:  21330 	Loss:  2.302633285522461
Epoch:  21340 	Loss:  2.302593231201172
Epoch:  21350 	Loss:  2.3026256561279297
Epoch:  21360 	Loss:  2.302424192428589
Epoch:  21370 	Loss:  2.3026204109191895
Epoch:  21380 	Loss:  2.3026065826416016
Epoch:  21390 	Loss:  2.302666425704956
Epoch:  21400 	Loss:  2.302708625793457
Epoch:  21410 	Loss:  2.3025624752044678
Epoch:  21420 	Loss:  2.302647829055786
Epoch:  21430 	Loss:  2.3025612831115723
Epoch:  21440 	Loss:  2.302602767944336
